code,name,lat,long,tambon,amphoe,province,basin,sub_basin
NKYG,ทต.หนองขาหย่าง,15.36231,99.938484,หนองขาหย่าง,หนองขาหย่าง,อุทัยธานี,สะแกกรัง,แม่น้ำสะแกกรังตอนล่างส่วนที่ 3
NMKH,อบต.หนองมะค่า,15.4321165,100.924484,หนองมะค่า,โคกเจริญ,ลพบุรี,ป่าสัก,ห้วยเกาะแก้ว
NMKI,ทต.หนองม่วงไข่,18.26432,100.2001,หนองม่วงไข่,หนองม่วงไข่,แพร่,ยม,แม่น้ำยมตอนกลางส่วนที่ 1
NMKO,อบต.หนองไม้กอง,16.43567,99.945076,หนองไม้กอง,ไทรงาม,กำแพงเพชร,ยม,แม่น้ำยมตอนล่างส่วนที่ 5
NMNO,อบต.น้ำหนาว,16.770222,101.669914,น้ำหนาว,น้ำหนาว,เพชรบูรณ์,ชี,ลำน้ำเชิญส่วนที่ 1
NMPR,ทต.เนินมะปราง,16.57074,100.64936,เนินมะปราง,เนินมะปราง,พิษณุโลก,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 2
NMPT,ทต.น้ำปาด,17.725319,100.681404,แสนตอ,น้ำปาด,อุตรดิตถ์,น่าน,น้ำปาด
NMUB,อบต.น้ำมวบ,18.484232,100.93075,น้ำมวบ,เวียงสา,น่าน,น่าน,แม่น้ำน่านส่วนที่ 3/2
NNDG,อบต.โนนแดง,15.891222,103.07813,โนนแดง,บรบือ,มหาสารคาม,มูล,ลำพังชู
NNKO,อบต.โนนกอก,16.199286,101.93237,โนนกอก,เกษตรสมบูรณ์,ชัยภูมิ,ชี,น้ำพรหม
NNPT,อบต.วังทอง,17.320757,102.0248,วังทอง,นาวัง,หนองบัวลำภู,ชี,ลำพะเนียง
NOKG,อบต.หนองโพธิ์,15.774349,103.102844,หนองโพธิ์,นาเชือก,มหาสารคาม,มูล,ลำพังชู
NOKW,อบต.หนองพันทา,18.107357,103.41308,หนองพันทา,โซ่พิสัย,บึงกาฬ,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน
NONA,อบต.หนองนาง,17.695093,102.61524,หนองนาง,ท่าบ่อ,หนองคาย,โขงตะวันออกเฉียงเหนือ,แม่น้ำโขงส่วนที่ 6/2
NOPU,อบต.สุขสวัสดิ์,14.864204,104.350716,สุขสวัสดิ์,ไพรบึง,ศรีสะเกษ,มูล,ห้วยทา
